TELEMETRY_ID,DEVICE_ID,CAR_ID,RENTAL_ID,TIMESTAMP,LATITUDE,LONGITUDE,SPEED_KMH,ACCELERATION_MS2,BRAKE_PRESSURE_BAR,FUEL_LEVEL_PCT,BATTERY_VOLTAGE,ENGINE_TEMP_C,ODOMETER_KM,EVENT_TYPE,CREATED_AT
13100000,491,516,131,2025-10-26T21:23:28,33.5731,-7.5898,0.0,0.0,0.0,100.0,12.6,23.35,12000,ENGINE_START,2025-10-26T21:23:22.360379
13100001,491,516,131,2025-10-26T21:23:58,33.5730236,-7.5890468,8.42,0.078,1.07,99.56,13.72,90.45,12000,DRIVING,2025-10-26T21:23:22.360379
13100002,491,516,131,2025-10-26T21:24:28,33.5729505,-7.5875789,16.32,0.073,0.58,99.22,13.95,96.29,12001,DRIVING,2025-10-26T21:23:22.360379
13100003,491,516,131,2025-10-26T21:24:58,33.5725754,-7.5858915,19.38,0.028,0.5,99.18,13.66,95.1,12001,DRIVING,2025-10-26T21:23:22.360379
13100004,491,516,131,2025-10-26T21:25:28,33.5725754,-7.5858915,0.0,-0.179,0.0,99.81,12.31,46.88,12002,IDLE,2025-10-26T21:23:22.360379
13100005,491,516,131,2025-10-26T21:25:58,33.5724076,-7.5854911,4.97,0.046,0.0,99.39,14.33,98.28,12002,DRIVING,2025-10-26T21:23:22.360379
13100006,491,516,131,2025-10-26T21:26:28,33.5722716,-7.5849964,5.78,0.008,9.28,99.65,13.73,100.14,12003,HARSH_BRAKE,2025-10-26T21:23:22.360379
13100007,491,516,131,2025-10-26T21:26:58,33.5722124,-7.5841231,9.72,0.036,0.0,99.54,14.17,95.33,12003,DRIVING,2025-10-26T21:23:22.360379
13100008,491,516,131,2025-10-26T21:27:28,33.5721873,-7.5827577,15.16,0.05,0.83,99.52,14.49,95.69,12004,DRIVING,2025-10-26T21:23:22.361895
13100009,491,516,131,2025-10-26T21:27:58,33.5721873,-7.5827577,0.0,-0.14,0.0,99.59,12.53,41.12,12004,IDLE,2025-10-26T21:23:22.361895
13100010,491,516,131,2025-10-26T21:28:28,33.5723289,-7.5825352,3.11,0.029,0.53,98.99,13.71,100.77,12005,DRIVING,2025-10-26T21:23:22.361895
13100011,491,516,131,2025-10-26T21:28:58,33.5726719,-7.582074,6.86,0.035,0.0,99.38,14.06,93.7,12006,DRIVING,2025-10-26T21:23:22.361895
13100012,491,516,131,2025-10-26T21:29:28,33.573462,-7.581019,15.74,0.082,0.0,99.21,13.99,111.34,12006,RAPID_ACCEL,2025-10-26T21:23:22.361895
13100013,491,516,131,2025-10-26T21:29:58,33.5756979,-7.5794861,34.3,0.172,1.92,98.91,14.1,95.77,12007,DRIVING,2025-10-26T21:23:22.361895
13100014,491,516,131,2025-10-26T21:30:28,33.5793757,-7.5787226,49.72,0.143,12.68,99.39,14.04,112.63,12007,HARSH_BRAKE,2025-10-26T21:23:22.361895
13100015,491,516,131,2025-10-26T21:30:58,33.5838113,-7.5775536,60.49,0.1,2.91,99.33,14.22,90.05,12008,DRIVING,2025-10-26T21:23:22.361895
13100016,491,516,131,2025-10-26T21:31:28,33.589043,-7.5786378,70.72,0.095,2.82,99.3,14.34,99.38,12008,DRIVING,2025-10-26T21:23:22.361895
13100017,491,516,131,2025-10-26T21:31:58,33.5941332,-7.5779888,68.18,-0.024,4.04,98.46,14.03,101.68,12009,DRIVING,2025-10-26T21:23:22.361895
13100018,491,516,131,2025-10-26T21:32:28,33.5990637,-7.5768464,66.89,-0.012,13.1,99.01,13.74,117.85,12009,HARSH_BRAKE,2025-10-26T21:23:22.361895
13100019,491,516,131,2025-10-26T21:32:58,33.6044682,-7.5744721,76.66,0.09,4.86,98.8,14.26,91.04,12010,DRIVING,2025-10-26T21:23:22.362446
13100020,491,516,131,2025-10-26T21:33:28,33.610575,-7.5735054,82.05,0.05,3.79,98.89,13.92,103.09,12010,DRIVING,2025-10-26T21:23:22.362446
13100021,491,516,131,2025-10-26T21:33:58,33.6166889,-7.570518,87.92,0.054,3.92,98.06,14.17,95.98,12011,DRIVING,2025-10-26T21:23:22.362446
13100022,491,516,131,2025-10-26T21:34:28,33.6231643,-7.5697626,86.66,-0.012,3.28,99.13,14.09,95.07,12012,DRIVING,2025-10-26T21:23:22.362446
13100023,491,516,131,2025-10-26T21:34:58,33.6286764,-7.5665494,81.61,-0.047,4.57,99.02,13.53,91.01,12012,DRIVING,2025-10-26T21:23:22.362446
13100024,491,516,131,2025-10-26T21:35:28,33.6339492,-7.5626966,82.21,0.006,3.47,98.76,14.44,91.98,12013,DRIVING,2025-10-26T21:23:22.362446
13100025,491,516,131,2025-10-26T21:35:58,33.6374665,-7.5567985,80.46,-0.016,4.18,98.54,14.16,91.41,12013,DRIVING,2025-10-26T21:23:22.362446
13100026,491,516,131,2025-10-26T21:36:28,33.6437585,-7.5547606,86.8,0.059,5.16,97.91,13.6,104.76,12014,DRIVING,2025-10-26T21:23:22.362446
13100027,491,516,131,2025-10-26T21:36:58,33.6504791,-7.553249,91.08,0.04,4.65,99.08,13.64,98.04,12014,DRIVING,2025-10-26T21:23:22.362446
13100028,491,516,131,2025-10-26T21:37:28,33.6563278,-7.5523475,78.54,-0.116,15.68,98.05,13.55,113.42,12015,HARSH_BRAKE,2025-10-26T21:23:22.362446
13100029,491,516,131,2025-10-26T21:37:58,33.6632861,-7.5524151,92.69,0.131,3.83,97.36,13.99,92.49,12015,DRIVING,2025-10-26T21:23:22.362446
13100030,491,516,131,2025-10-26T21:38:28,33.6702032,-7.5504554,94.66,0.018,5.06,99.27,14.43,95.86,12016,DRIVING,2025-10-26T21:23:22.362446
13100031,491,516,131,2025-10-26T21:38:58,33.6767129,-7.547458,92.86,-0.017,4.94,97.53,13.99,99.93,12016,DRIVING,2025-10-26T21:23:22.362446
13100032,491,516,131,2025-10-26T21:39:28,33.6821449,-7.5462558,73.57,-0.179,5.5,97.71,14.08,90.86,12017,DRIVING,2025-10-26T21:23:22.362446
13100033,491,516,131,2025-10-26T21:39:58,33.6861965,-7.5472478,55.08,-0.171,5.1,98.48,13.57,102.77,12018,DRIVING,2025-10-26T21:23:22.362446
13100034,491,516,131,2025-10-26T21:40:28,33.6893603,-7.5480173,43.0,-0.112,3.26,98.33,14.09,93.69,12018,DRIVING,2025-10-26T21:23:22.362446
13100035,491,516,131,2025-10-26T21:40:58,33.6915301,-7.548852,30.35,-0.117,2.58,97.89,14.22,93.06,12019,DRIVING,2025-10-26T21:23:22.362446
13100036,491,516,131,2025-10-26T21:41:28,33.6915301,-7.548852,0.0,-0.281,0.0,99.03,12.57,49.14,12019,IDLE,2025-10-26T21:23:22.362446
13100037,491,516,131,2025-10-26T21:41:58,33.6915301,-7.548852,0.0,0.0,0.0,98.55,12.42,42.0,12020,IDLE,2025-10-26T21:23:22.362446
13100038,491,516,131,2025-10-26T21:42:28,33.6915301,-7.548852,0.0,0.0,0.0,98.13,12.35,57.59,12020,IDLE,2025-10-26T21:23:22.362446
13100039,491,516,131,2025-10-26T21:42:58,33.6919473,-7.5487776,5.62,0.052,0.21,97.93,14.03,102.11,12021,DRIVING,2025-10-26T21:23:22.362446
13100040,491,516,131,2025-10-26T21:43:28,33.6919473,-7.5487776,0.0,-0.052,0.0,98.32,12.25,42.69,12021,IDLE,2025-10-26T21:23:22.362446
13100041,491,516,131,2025-10-26T21:43:58,33.6921888,-7.5486911,3.36,0.031,0.0,98.67,14.19,95.14,12022,DRIVING,2025-10-26T21:23:22.363451
13100042,491,516,131,2025-10-26T21:44:28,33.6926946,-7.5485159,7.01,0.034,0.0,98.11,14.33,99.51,12022,DRIVING,2025-10-26T21:23:22.363451
13100043,491,516,131,2025-10-26T21:44:58,33.6926946,-7.5485159,0.0,-0.065,0.75,98.14,12.5,45.24,12023,IDLE,2025-10-26T21:23:22.363451
13100044,491,516,131,2025-10-26T21:45:28,33.6932506,-7.5482781,7.86,0.073,1.8,98.05,13.65,100.37,12024,DRIVING,2025-10-26T21:23:22.363451
13100045,491,516,131,2025-10-26T21:45:58,33.6946256,-7.5473852,20.82,0.12,3.23,98.65,14.3,103.48,12024,DRIVING,2025-10-26T21:23:22.363451
13100046,491,516,131,2025-10-26T21:46:28,33.6969028,-7.546395,32.26,0.106,1.71,98.68,14.38,101.7,12025,DRIVING,2025-10-26T21:23:22.363451
13100047,491,516,131,2025-10-26T21:46:58,33.7006546,-7.5466605,50.06,0.165,2.57,97.54,14.3,92.44,12025,DRIVING,2025-10-26T21:23:22.363451
13100048,491,516,131,2025-10-26T21:47:28,33.7043775,-7.5463685,49.7,-0.003,1.6,97.78,14.3,103.96,12026,DRIVING,2025-10-26T21:23:22.363451
13100049,491,516,131,2025-10-26T21:47:58,33.7095831,-7.5472497,70.02,0.188,3.18,97.49,13.72,102.88,12026,DRIVING,2025-10-26T21:23:22.363451
13100050,491,516,131,2025-10-26T21:48:28,33.715105,-7.5505561,82.17,0.113,4.34,97.5,13.9,99.9,12027,DRIVING,2025-10-26T21:23:22.363451
13100051,491,516,131,2025-10-26T21:48:58,33.7196137,-7.5571528,94.6,0.115,4.91,97.59,14.48,96.0,12027,DRIVING,2025-10-26T21:23:22.363451
13100052,491,516,131,2025-10-26T21:49:28,33.7246142,-7.5619975,85.54,-0.084,4.05,97.35,14.48,98.71,12028,DRIVING,2025-10-26T21:23:22.363451
13100053,491,516,131,2025-10-26T21:49:58,33.7297461,-7.5657099,79.78,-0.053,4.92,97.43,14.01,99.09,12028,DRIVING,2025-10-26T21:23:22.363451
13100054,491,516,131,2025-10-26T21:50:28,33.7349877,-7.5687617,77.57,-0.02,3.44,98.17,14.31,97.8,12029,DRIVING,2025-10-26T21:23:22.363451
13100055,491,516,131,2025-10-26T21:50:58,33.7401701,-7.5712091,74.16,-0.032,3.38,97.42,14.35,94.71,12030,DRIVING,2025-10-26T21:23:22.363451
13100056,491,516,131,2025-10-26T21:51:28,33.7464581,-7.5731413,86.45,0.114,3.13,97.29,14.16,105.23,12030,RAPID_ACCEL,2025-10-26T21:23:22.363451
13100057,491,516,131,2025-10-26T21:51:58,33.7526563,-7.5772654,94.35,0.073,5.5,97.46,13.5,98.22,12031,DRIVING,2025-10-26T21:23:22.363451
13100058,491,516,131,2025-10-26T21:52:28,33.7582932,-7.583214,99.89,0.051,5.96,97.4,14.18,96.63,12031,DRIVING,2025-10-26T21:23:22.363451
13100059,491,516,131,2025-10-26T21:52:58,33.7650532,-7.5877087,102.88,0.028,7.04,97.32,14.02,91.27,12032,DRIVING,2025-10-26T21:23:22.363451
13100060,491,516,131,2025-10-26T21:53:28,33.7709812,-7.5937432,103.44,0.005,4.28,97.94,13.65,102.1,12032,DRIVING,2025-10-26T21:23:22.363451
13100061,491,516,131,2025-10-26T21:53:58,33.7752631,-7.5982838,76.03,-0.254,7.19,98.01,13.69,99.45,12033,DRIVING,2025-10-26T21:23:22.364451
13100062,491,516,131,2025-10-26T21:54:28,33.7790563,-7.6008121,57.76,-0.169,4.93,97.69,14.27,101.26,12033,DRIVING,2025-10-26T21:23:22.364451
13100063,491,516,131,2025-10-26T21:54:58,33.7821412,-7.6032185,48.97,-0.081,6.14,96.72,14.06,96.97,12034,DRIVING,2025-10-26T21:23:22.364451
13100064,491,516,131,2025-10-26T21:55:28,33.7843763,-7.6059853,42.72,-0.058,1.76,96.61,14.45,98.93,12034,DRIVING,2025-10-26T21:23:22.364451
13100065,491,516,131,2025-10-26T21:55:58,33.7862143,-7.6085443,37.44,-0.049,3.17,97.01,14.4,98.22,12035,DRIVING,2025-10-26T21:23:22.364451
13100066,491,516,131,2025-10-26T21:56:28,33.7878401,-7.6108972,33.87,-0.033,1.24,96.95,13.98,101.67,12036,DRIVING,2025-10-26T21:23:22.364451
13100067,491,516,131,2025-10-26T21:56:58,33.7878401,-7.6108972,0.0,-0.314,0.0,98.48,12.33,45.43,12036,IDLE,2025-10-26T21:23:22.364451
13100068,491,516,131,2025-10-26T21:57:28,33.7878401,-7.6108972,0.0,0.0,0.0,98.3,12.29,43.06,12037,IDLE,2025-10-26T21:23:22.364451
13100069,491,516,131,2025-10-26T21:57:58,33.7879239,-7.6114071,5.75,0.053,0.46,97.67,14.4,96.3,12037,DRIVING,2025-10-26T21:23:22.364451
13100070,491,516,131,2025-10-26T21:58:28,33.7879024,-7.6121176,7.87,0.02,0.55,96.41,14.44,97.15,12038,DRIVING,2025-10-26T21:23:22.364451
13100071,491,516,131,2025-10-26T21:58:58,33.7876006,-7.613159,12.21,0.04,0.97,96.38,14.05,101.21,12038,DRIVING,2025-10-26T21:23:22.364451
13100072,491,516,131,2025-10-26T21:59:28,33.7875451,-7.6144417,14.22,0.019,1.76,97.26,14.3,100.03,12039,DRIVING,2025-10-26T21:23:22.364451
13100073,491,516,131,2025-10-26T21:59:58,33.7872822,-7.6154733,11.95,-0.021,1.36,96.13,14.09,103.6,12039,DRIVING,2025-10-26T21:23:22.364451
13100074,491,516,131,2025-10-26T22:00:28,33.7870789,-7.6169638,16.72,0.044,4.69,97.92,13.95,94.91,12040,DRIVING,2025-10-26T21:23:22.364451
13100075,491,516,131,2025-10-26T22:00:58,33.7872595,-7.6185681,17.92,0.011,1.85,96.19,13.58,93.78,12040,DRIVING,2025-10-26T21:23:22.364451
13100076,491,516,131,2025-10-26T22:01:28,33.7873278,-7.6201446,17.48,-0.004,1.68,96.36,14.46,91.03,12041,DRIVING,2025-10-26T21:23:22.364451
13100077,491,516,131,2025-10-26T22:01:58,33.7873155,-7.6216338,16.49,-0.009,0.45,98.05,13.63,92.29,12042,DRIVING,2025-10-26T21:23:22.364451
13100078,491,516,131,2025-10-26T22:02:28,33.7879592,-7.6227755,15.27,-0.011,0.0,96.24,14.11,92.52,12042,DRIVING,2025-10-26T21:23:22.364451
13100079,491,516,131,2025-10-26T22:02:58,33.7881706,-7.6242239,16.28,0.009,0.34,97.21,14.08,103.93,12043,DRIVING,2025-10-26T21:23:22.364451
13100080,491,516,131,2025-10-26T22:03:28,33.7884699,-7.6260899,21.04,0.044,0.0,97.56,13.6,99.41,12043,DRIVING,2025-10-26T21:23:22.364451
13100081,491,516,131,2025-10-26T22:03:58,33.7889434,-7.627565,17.51,-0.033,0.54,97.15,13.85,101.74,12044,DRIVING,2025-10-26T21:23:22.364451
13100082,491,516,131,2025-10-26T22:04:28,33.7893824,-7.6288854,15.74,-0.016,0.33,96.96,13.99,96.3,12044,DRIVING,2025-10-26T21:23:22.365488
13100083,491,516,131,2025-10-26T22:04:58,33.7903177,-7.6307357,23.97,0.076,0.0,95.83,14.47,108.87,12045,RAPID_ACCEL,2025-10-26T21:23:22.365488
13100084,491,516,131,2025-10-26T22:05:28,33.7909815,-7.6327754,24.25,0.003,2.06,96.15,14.09,102.39,12045,DRIVING,2025-10-26T21:23:22.365488
13100085,491,516,131,2025-10-26T22:05:58,33.7915016,-7.6345267,20.59,-0.034,1.94,97.24,13.96,93.66,12046,DRIVING,2025-10-26T21:23:22.365488
13100086,491,516,131,2025-10-26T22:06:28,33.7915499,-7.6365326,22.21,0.015,0.78,97.07,13.76,95.32,12046,DRIVING,2025-10-26T21:23:22.365488
13100087,491,516,131,2025-10-26T22:06:58,33.7913409,-7.6382901,19.65,-0.024,3.04,97.63,13.59,104.22,12047,DRIVING,2025-10-26T21:23:22.365488
13100088,491,516,131,2025-10-26T22:07:28,33.7906165,-7.6399968,21.21,0.014,1.98,96.0,14.29,97.36,12048,DRIVING,2025-10-26T21:23:22.365488
13100089,491,516,131,2025-10-26T22:07:58,33.7902275,-7.6422841,25.85,0.043,0.0,96.3,14.5,106.74,12048,RAPID_ACCEL,2025-10-26T21:23:22.365488
13100090,491,516,131,2025-10-26T22:08:28,33.7904429,-7.64427,22.17,-0.034,0.81,97.32,13.69,91.81,12049,DRIVING,2025-10-26T21:23:22.365488
13100091,491,516,131,2025-10-26T22:08:58,33.791032,-7.6463224,24.04,0.017,0.28,96.34,13.78,101.08,12049,DRIVING,2025-10-26T21:23:22.365488
13100092,491,516,131,2025-10-26T22:09:28,33.7901533,-7.6481865,23.72,-0.003,0.2,95.85,13.8,95.41,12050,DRIVING,2025-10-26T21:23:22.365488
13100093,491,516,131,2025-10-26T22:09:58,33.7901533,-7.6481865,0.0,-0.22,0.0,98.03,12.58,45.84,12050,IDLE,2025-10-26T21:23:22.365488
13100094,491,516,131,2025-10-26T22:10:28,33.7901533,-7.6481865,0.0,0.0,0.0,98.05,12.34,49.57,12051,IDLE,2025-10-26T21:23:22.365488
13100095,491,516,131,2025-10-26T22:10:58,33.7901533,-7.6481865,0.0,0.0,0.0,95.93,12.4,41.31,12051,IDLE,2025-10-26T21:23:22.365488
13100096,491,516,131,2025-10-26T22:11:28,33.7900585,-7.6483978,2.66,0.025,1.57,97.15,14.49,94.56,12052,DRIVING,2025-10-26T21:23:22.365488
13100097,491,516,131,2025-10-26T22:11:58,33.789996,-7.6487878,4.4,0.016,0.23,95.93,13.88,101.64,12052,DRIVING,2025-10-26T21:23:22.365488
